algorithm,data_type,array_size,max_string_size,average_time_microseconds,average_char_comparisons
StandardMergeSort,random,100,200,88.5,617
StandardMergeSort,reversed,100,200,91.1,672
StandardMergeSort,almost_sorted,100,200,101.4,755
StandardQuickSort,random,100,200,671.9,14000
StandardQuickSort,reversed,100,200,1253.7,28083
StandardQuickSort,almost_sorted,100,200,655.8,14422
StringMergeSort,random,100,200,317.4,507
StringMergeSort,reversed,100,200,286.9,370
StringMergeSort,almost_sorted,100,200,298.1,380
StringQuickSort,random,100,200,39.8,959
StringQuickSort,reversed,100,200,54.9,1357
StringQuickSort,almost_sorted,100,200,50.1,1768
RadixSort,random,100,200,270.2,0
RadixSort,reversed,100,200,226.5,0
RadixSort,almost_sorted,100,200,191.9,0
RadixSortWithQuickSwitch,random,100,200,36,102
RadixSortWithQuickSwitch,reversed,100,200,81.3,1388
RadixSortWithQuickSwitch,almost_sorted,100,200,57.5,1178
StandardMergeSort,random,200,200,206,1507
StandardMergeSort,reversed,200,200,211.9,1485
StandardMergeSort,almost_sorted,200,200,191.5,1651
StandardQuickSort,random,200,200,1540.2,32254
StandardQuickSort,reversed,200,200,3005.1,66635
StandardQuickSort,almost_sorted,200,200,1347,30057
StringMergeSort,random,200,200,679.8,1167
StringMergeSort,reversed,200,200,617.2,774
StringMergeSort,almost_sorted,200,200,620.4,751
StringQuickSort,random,200,200,108.5,2309
StringQuickSort,reversed,200,200,129.2,3048
StringQuickSort,almost_sorted,200,200,101.7,3518
RadixSort,random,200,200,531,0
RadixSort,reversed,200,200,419.8,0
RadixSort,almost_sorted,200,200,353.9,0
RadixSortWithQuickSwitch,random,200,200,76.1,328
RadixSortWithQuickSwitch,reversed,200,200,170,3098
RadixSortWithQuickSwitch,almost_sorted,200,200,106.8,2231
StandardMergeSort,random,300,200,336.8,2519
StandardMergeSort,reversed,300,200,332.8,2327
StandardMergeSort,almost_sorted,300,200,311,2699
StandardQuickSort,random,300,200,2213.2,47595
StandardQuickSort,reversed,300,200,5096.1,114122
StandardQuickSort,almost_sorted,300,200,2053.9,45195
StringMergeSort,random,300,200,1081.7,1914
StringMergeSort,reversed,300,200,948.8,1153
StringMergeSort,almost_sorted,300,200,976.3,1111
StringQuickSort,random,300,200,143.7,3863
StringQuickSort,reversed,300,200,229.2,5480
StringQuickSort,almost_sorted,300,200,172.3,5830
RadixSort,random,300,200,717,0
RadixSort,reversed,300,200,678.5,0
RadixSort,almost_sorted,300,200,556.5,0
RadixSortWithQuickSwitch,random,300,200,129.9,648
RadixSortWithQuickSwitch,reversed,300,200,256.2,4915
RadixSortWithQuickSwitch,almost_sorted,300,200,158.6,3398
StandardMergeSort,random,400,200,525.6,3661
StandardMergeSort,reversed,400,200,428.1,3139
StandardMergeSort,almost_sorted,400,200,439.3,3687
StandardQuickSort,random,400,200,2885.1,61516
StandardQuickSort,reversed,400,200,8371.5,170795
StandardQuickSort,almost_sorted,400,200,3284.9,63116
StringMergeSort,random,400,200,1825.8,2685
StringMergeSort,reversed,400,200,1874.2,1514
StringMergeSort,almost_sorted,400,200,1808.5,1521
StringQuickSort,random,400,200,291,5463
StringQuickSort,reversed,400,200,400.2,7223
StringQuickSort,almost_sorted,400,200,335.6,8326
RadixSort,random,400,200,1174.2,0
RadixSort,reversed,400,200,1230.5,0
RadixSort,almost_sorted,400,200,1092,0
RadixSortWithQuickSwitch,random,400,200,234.2,1022
RadixSortWithQuickSwitch,reversed,400,200,580.3,6589
RadixSortWithQuickSwitch,almost_sorted,400,200,379.9,4478
StandardMergeSort,random,500,200,1093.8,4858
StandardMergeSort,reversed,500,200,929.8,3853
StandardMergeSort,almost_sorted,500,200,989.1,4885
StandardQuickSort,random,500,200,6506.6,80084
StandardQuickSort,reversed,500,200,18320.8,238292
StandardQuickSort,almost_sorted,500,200,6022.8,79491
StringMergeSort,random,500,200,2973.9,3510
StringMergeSort,reversed,500,200,2578.7,1872
StringMergeSort,almost_sorted,500,200,2423.5,1902
StringQuickSort,random,500,200,346.4,6995
StringQuickSort,reversed,500,200,533.9,9504
StringQuickSort,almost_sorted,500,200,437.4,11125
RadixSort,random,500,200,1292.1,0
RadixSort,reversed,500,200,1482.1,0
RadixSort,almost_sorted,500,200,1329,0
RadixSortWithQuickSwitch,random,500,200,260.6,1489
RadixSortWithQuickSwitch,reversed,500,200,593.9,7956
RadixSortWithQuickSwitch,almost_sorted,500,200,357.9,5576
StandardMergeSort,random,600,200,1110.6,6090
StandardMergeSort,reversed,600,200,935.2,4861
StandardMergeSort,almost_sorted,600,200,1010.9,6104
StandardQuickSort,random,600,200,5310.1,96565
StandardQuickSort,reversed,600,200,13821.6,314766
StandardQuickSort,almost_sorted,600,200,4446.8,98799
StringMergeSort,random,600,200,2245.3,4314
StringMergeSort,reversed,600,200,2002.9,2300
StringMergeSort,almost_sorted,600,200,2042.9,2383
StringQuickSort,random,600,200,348.9,10158
StringQuickSort,reversed,600,200,482.6,11964
StringQuickSort,almost_sorted,600,200,388.6,14692
RadixSort,random,600,200,1026.3,0
RadixSort,reversed,600,200,1256.4,0
RadixSort,almost_sorted,600,200,1158.2,0
RadixSortWithQuickSwitch,random,600,200,247.6,2013
RadixSortWithQuickSwitch,reversed,600,200,503.2,9531
RadixSortWithQuickSwitch,almost_sorted,600,200,317.4,6637
StandardMergeSort,random,700,200,977.2,7398
StandardMergeSort,reversed,700,200,797.9,5894
StandardMergeSort,almost_sorted,700,200,867,7163
StandardQuickSort,random,700,200,5313.1,113612
StandardQuickSort,reversed,700,200,17782.5,404145
StandardQuickSort,almost_sorted,700,200,5431.4,119450
StringMergeSort,random,700,200,2661.7,5169
StringMergeSort,reversed,700,200,2365.3,2766
StringMergeSort,almost_sorted,700,200,2398,2797
StringQuickSort,random,700,200,372.6,10105
StringQuickSort,reversed,700,200,581.8,14561
StringQuickSort,almost_sorted,700,200,506.7,18968
RadixSort,random,700,200,1179.2,0
RadixSort,reversed,700,200,1482.4,0
RadixSort,almost_sorted,700,200,1398.2,0
RadixSortWithQuickSwitch,random,700,200,284,2604
RadixSortWithQuickSwitch,reversed,700,200,594.1,11130
RadixSortWithQuickSwitch,almost_sorted,700,200,363.9,7676
StandardMergeSort,random,800,200,1138.6,8762
StandardMergeSort,reversed,800,200,955.9,6738
StandardMergeSort,almost_sorted,800,200,1001.6,8418
StandardQuickSort,random,800,200,5864.9,127361
StandardQuickSort,reversed,800,200,21872.1,503956
StandardQuickSort,almost_sorted,800,200,6029.4,136390
StringMergeSort,random,800,200,3033.5,6027
StringMergeSort,reversed,800,200,2708.6,3120
StringMergeSort,almost_sorted,800,200,2756.8,3278
StringQuickSort,random,800,200,440.9,12049
